VarName,Age,centile_5,centile_25,centile_50,centile_75,centile_95
TotalBrain,86,981123.670877413,1089900.83166234,1164090.86915833,1237238.74544841,1340820.04759465
TotalBrain,87,977014.915014582,1087234.85009974,1161573.95048365,1234278.02960611,1336324.13414238
TotalBrain,88,972830.794506233,1084566.83897556,1159061.66123963,1231323.10955517,1331858.49343034
TotalBrain,89,968570.601723309,1081897.49127318,1156554.18193111,1228374.76033217,1327426.09390287
TotalBrain,90,964233.618389767,1079227.51239065,1154051.69039806,1225433.72231786,1323029.5738335
TotalBrain,91,959818.977939501,1076557.58532161,1151554.34564497,1222500.66837447,1318671.1590167
TotalBrain,92,955324.983845351,1073888.22404542,1149062.22711447,1219576.07030565,1314352.25326873
TotalBrain,93,950749.797634739,1071219.94041038,1146575.40833123,1216660.33898744,1310073.92211227
GM,40,618986.388417221,674699.59749607,714746.512545466,755872.444087588,816923.95830637
GM,41,616464.864828032,671947.649192637,711858.66261677,752870.005264885,813796.419189776
GM,42,613965.205971939,669211.978335216,708985.4967259,749882.735663083,810688.741626339
GM,43,611484.467602259,666491.919403196,706126.777824449,746909.831574324,807597.484497082
GM,44,609021.172758587,663787.055717785,703282.253391916,743950.711277477,804520.689823467
GM,45,606574.729047596,661097.121868589,700451.662958536,741004.929758574,801457.304868882
GM,46,604144.564062847,658421.857448715,697634.749296934,738072.048754676,798406.294575328
GM,47,601730.65270082,655761.155003915,694831.340047707,735151.82782305,795367.322377344
GM,48,599335.013920426,653115.477640654,692041.574360417,732244.762897401,792342.697208339
GM,49,596960.107861211,650485.415586941,689265.661864316,729351.519027252,789335.35322903
GM,50,594608.32609686,647871.546901971,686503.809040454,726472.75390901,786348.211489999
GM,51,592281.38383544,645274.352263829,683756.271544151,723609.105082116,783383.687949462
GM,52,589980.02441661,642694.172844209,681023.38005769,720761.182645166,780443.439315295
GM,53,587704.882876235,640131.331188397,678305.465771803,717929.586925375,777529.061180521
GM,54,585456.380826409,637586.100129705,675602.841350759,715114.865540842,774641.942003011
GM,55,583232.862435857,635058.269737571,672915.672455351,712317.048816582,771781.055623975
GM,56,581031.411390139,632547.330975167,670244.031819391,709535.84023961,768943.829821016
GM,57,578849.168032317,630052.778324533,667587.988741439,706770.937462281,766127.651414715
GM,58,576682.760454991,627573.963316939,664947.550911274,704021.865923343,763329.144756703
GM,59,574526.558606204,625109.644898576,662322.487351946,701287.467367441,760541.936873823
GM,60,572374.518431055,622658.455029801,659712.510688337,698566.419768247,757758.869701229
GM,61,570220.768065586,620219.049065277,657117.335386751,695857.407774143,754972.746866353
GM,62,568059.335984954,617789.97892508,654536.564958648,693158.953023729,752175.959251863
GM,63,565883.981202997,615369.620639398,651969.628824849,690469.32025344,749360.295827538
GM,64,563688.51867796,612956.355930562,649415.948885358,687786.773925,746517.591454727
GM,65,561467.043423911,610548.630491607,646874.955954434,685109.655127789,743640.165642257
GM,66,559216.558118526,608145.44454137,644346.096412576,682436.916698244,740724.281032833
GM,67,556935.900247181,605746.159395757,641828.829495033,679767.923067294,737768.903279437
GM,68,554623.794127229,603350.14012623,639322.622334895,677102.070187286,734773.291384003
GM,69,552279.196967478,600956.838631642,636826.976677708,674438.883830196,731737.464518481
GM,70,549902.552266631,598566.080753473,634341.513896439,671778.350082108,728663.776568716
GM,71,547494.581919788,596177.783983703,631865.890125896,669120.581827451,725555.26773695
GM,72,545055.869480883,593791.859732086,629399.767050024,666465.701567566,722415.067913148
GM,73,542587.124623169,591408.291149746,626942.857868696,663813.938584343,719246.69836728
