time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-29 00:00:00+00:00,6,4,1.0,1.0
2025-03-30 00:00:00+00:00,5,3,,
2025-03-31 00:00:00+00:00,6,6,56.0,4.0
2025-04-01 00:00:00+00:00,2,2,10.0,1.0
2025-04-02 00:00:00+00:00,6,3,27.0,3.0
2025-04-03 00:00:00+00:00,2,2,8.0,2.0
2025-04-04 00:00:00+00:00,5,5,14.0,4.0
2025-04-05 00:00:00+00:00,7,4,2.0,1.0
2025-04-06 00:00:00+00:00,5,2,1.0,1.0
2025-04-07 00:00:00+00:00,1,1,13.0,3.0
2025-04-08 00:00:00+00:00,3,2,33.0,1.0
2025-04-09 00:00:00+00:00,1,1,3.0,2.0
2025-04-10 00:00:00+00:00,11,5,21.0,4.0
