url_path,views_total,views_unique
/CBICA/NiChart_Project,46,14
/CBICA/NiChart_Project/tree/main/test_data,11,1
/CBICA/NiChart_Project/tree/main/test_data/processed/IXI,11,1
/CBICA/NiChart_Project/tree/main/test_data/processed,9,1
/CBICA/NiChart_Project/tree/main/test_data/processed/IXI/Nifti/T1,8,1
/CBICA/NiChart_Project/tree/main/src,7,2
/CBICA/NiChart_Project/tree/main/test_data/IXI_Small,7,1
/CBICA/NiChart_Project/tree/main/src/viewer,6,2
/CBICA/NiChart_Project/tree/main/src/viewer/utils,6,2
/CBICA/NiChart_Project/pulls,5,2
