url_path,views_total,views_unique
/CBICA/NiChart_Project,36,22
/CBICA/NiChart_Project/discussions/72,10,9
/CBICA/NiChart_Project/tree/main/resources,9,2
/CBICA/NiChart_Project/tree/main/resources/MUSE,8,3
/CBICA/NiChart_Project/discussions,6,6
/CBICA/NiChart_Project/tree/main/src,5,5
/CBICA/NiChart_Project/tree/main/resources/images,5,1
/CBICA/NiChart_Project/tree/main/resources/lists,5,1
/CBICA/NiChart_Project/blob/main/resources/MUSE/list_MUSE_all.csv,4,3
/CBICA/NiChart_Project/tree/main/output_folder,4,2
