time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-05 00:00:00+00:00,10,6,0,0
2026-03-06 00:00:00+00:00,5,5,1,1
2026-03-07 00:00:00+00:00,3,3,0,0
2026-03-08 00:00:00+00:00,2,2,0,0
2026-03-09 00:00:00+00:00,10,6,1,1
2026-03-10 00:00:00+00:00,10,6,5,1
2026-03-11 00:00:00+00:00,8,4,1,1
2026-03-12 00:00:00+00:00,14,6,1,1
2026-03-13 00:00:00+00:00,3,3,13,2
2026-03-14 00:00:00+00:00,9,5,0,0
2026-03-15 00:00:00+00:00,4,4,0,0
2026-03-16 00:00:00+00:00,4,4,4,3
2026-03-17 00:00:00+00:00,3,3,2,2
2026-03-18 00:00:00+00:00,6,2,0,0
