url_path,views_total,views_unique
/CBICA/NiChart_Project,14,11
/CBICA/NiChart_Project/blob/github-repo-stats/CBICA/NiChart_Project/latest-report/report.pdf,2,1
/CBICA/NiChart_Project/blob/main/resources/MUSE/list_MUSE_all.csv,2,1
/CBICA/NiChart_Project/tree/main/resources,2,1
/CBICA/NiChart_Project/tree/main/resources/videos,2,1
/CBICA/NiChart_Project/blob/github-repo-stats/CBICA/NiChart_Project/latest-report/report.md,1,1
/CBICA/NiChart_Project/blob/main/resources/MUSE/list_MUSE_composite.csv,1,1
/CBICA/NiChart_Project/blob/main/resources/MUSE/list_MUSE_mapping_derived.csv,1,1
/CBICA/NiChart_Project/blob/main/resources/MUSE/list_MUSE_primary.csv,1,1
/CBICA/NiChart_Project/blob/main/resources/MUSE/list_MUSE_short.csv,1,1
